"subject"	"block"	"trial"	"cue"	"cond"	"is_common"	"outcome_go"	"outcome_nogo"	"key_correct"	"key_pressed"	"is_correct"	"outcome"	"rt"	"shocked"	"tdcs"
30	1	55	4	"go_reward"	1	1	0	1	1	1	1	0.760487899882719	NA	1
30	1	56	3	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
30	1	57	1	"nogo_reward"	1	0	1	0	1	0	0	0.422596400137991	NA	1
30	1	58	3	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
30	1	59	1	"nogo_reward"	0	1	0	0	1	0	1	0.643592800013721	NA	1
30	1	60	1	"nogo_reward"	1	0	1	0	1	0	0	0.384551099967211	NA	1
30	2	61	4	"go_reward"	1	1	0	1	0	0	0	NA	NA	1
30	2	62	3	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
30	2	63	4	"go_reward"	1	1	0	1	1	1	1	0.42151809995994	NA	1
30	2	64	1	"nogo_reward"	1	0	1	0	1	0	0	0.328010499943048	NA	1
30	2	65	4	"go_reward"	0	0	1	1	1	1	0	0.665963199920952	NA	1
30	2	66	2	"go_punish"	1	0	-1	1	0	0	-1	NA	1	1
30	2	67	4	"go_reward"	0	0	1	1	1	1	0	0.450239700032398	NA	1
30	2	68	3	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
30	2	69	1	"nogo_reward"	1	0	1	0	1	0	0	0.365927000064403	NA	1
30	2	70	3	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
30	2	71	2	"go_punish"	1	0	-1	1	0	0	-1	NA	1	1
30	2	72	2	"go_punish"	1	0	-1	1	0	0	-1	NA	0	1
30	2	73	3	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
30	2	74	2	"go_punish"	1	0	-1	1	0	0	-1	NA	0	1
30	2	75	2	"go_punish"	1	0	-1	1	0	0	-1	NA	0	1
30	2	76	3	"nogo_punish"	0	0	-1	0	0	1	-1	NA	0	1
30	2	77	4	"go_reward"	1	1	0	1	1	1	1	0.793245400069281	NA	1
30	2	78	2	"go_punish"	1	0	-1	1	0	0	-1	NA	0	1
30	2	79	1	"nogo_reward"	1	0	1	0	1	0	0	0.569995700148866	NA	1
30	2	80	3	"nogo_punish"	0	0	-1	0	0	1	-1	NA	0	1
30	2	81	2	"go_punish"	1	0	-1	1	0	0	-1	NA	0	1
30	2	82	2	"go_punish"	1	0	-1	1	0	0	-1	NA	0	1
30	2	83	2	"go_punish"	1	0	-1	1	0	0	-1	NA	1	1
30	2	84	2	"go_punish"	1	0	-1	1	0	0	-1	NA	1	1
30	2	85	3	"nogo_punish"	0	0	-1	0	0	1	-1	NA	0	1
30	2	86	2	"go_punish"	1	0	-1	1	0	0	-1	NA	1	1
30	2	87	1	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
30	2	88	2	"go_punish"	0	-1	0	1	0	0	0	NA	NA	1
30	2	89	4	"go_reward"	0	0	1	1	0	0	1	NA	NA	1
30	2	90	3	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
30	2	91	1	"nogo_reward"	1	0	1	0	1	0	0	0.78399659995921	NA	1
30	2	92	2	"go_punish"	1	0	-1	1	0	0	-1	NA	1	1
30	2	93	4	"go_reward"	1	1	0	1	1	1	1	0.319400599924847	NA	1
30	2	94	3	"nogo_punish"	0	0	-1	0	0	1	-1	NA	0	1
30	2	95	4	"go_reward"	1	1	0	1	1	1	1	0.298127599991858	NA	1
30	2	96	4	"go_reward"	1	1	0	1	1	1	1	0.333278700010851	NA	1
30	2	97	4	"go_reward"	1	1	0	1	1	1	1	0.499734600074589	NA	1
30	2	98	4	"go_reward"	1	1	0	1	1	1	1	0.354491499951109	NA	1
30	2	99	2	"go_punish"	1	0	-1	1	0	0	-1	NA	0	1
30	2	100	3	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
30	2	101	1	"nogo_reward"	0	1	0	0	1	0	1	0.298739399993792	NA	1
30	2	102	1	"nogo_reward"	0	1	0	0	1	0	1	0.423355499980971	NA	1
30	2	103	1	"nogo_reward"	1	0	1	0	1	0	0	0.299693499924615	NA	1
30	2	104	4	"go_reward"	1	1	0	1	1	1	1	0.280978499911726	NA	1
30	2	105	3	"nogo_punish"	0	0	-1	0	0	1	-1	NA	1	1
30	2	106	3	"nogo_punish"	0	0	-1	0	0	1	-1	NA	0	1
30	2	107	1	"nogo_reward"	1	0	1	0	1	0	0	0.476218299940229	NA	1
30	2	108	3	"nogo_punish"	1	-1	0	0	1	0	-1	0.279314799932763	0	1
30	2	109	3	"nogo_punish"	0	0	-1	0	0	1	-1	NA	0	1
30	2	110	1	"nogo_reward"	1	0	1	0	1	0	0	0.304151399992406	NA	1
30	2	111	4	"go_reward"	0	0	1	1	1	1	0	0.315010800026357	NA	1
30	2	112	1	"nogo_reward"	1	0	1	0	1	0	0	0.28606819990091	NA	1
30	2	113	3	"nogo_punish"	1	-1	0	0	1	0	-1	0.731550299795344	0	1
30	2	114	4	"go_reward"	0	0	1	1	1	1	0	0.36256210017018	NA	1
30	2	115	2	"go_punish"	0	-1	0	1	0	0	0	NA	NA	1
30	2	116	1	"nogo_reward"	1	0	1	0	1	0	0	0.311098600039259	NA	1
30	2	117	1	"nogo_reward"	0	1	0	0	1	0	1	0.349663199856877	NA	1
30	2	118	1	"nogo_reward"	0	1	0	0	1	0	1	0.36497260001488	NA	1
30	2	119	1	"nogo_reward"	1	0	1	0	0	1	1	NA	NA	1
30	2	120	4	"go_reward"	1	1	0	1	1	1	1	0.273293199948967	NA	1
30	3	121	4	"go_reward"	1	1	0	1	1	1	1	0.323177800048143	NA	1
30	3	122	2	"go_punish"	1	0	-1	1	0	0	-1	NA	1	1
30	3	123	2	"go_punish"	1	0	-1	1	0	0	-1	NA	0	1
30	3	124	3	"nogo_punish"	0	0	-1	0	1	0	0	0.318920000223443	NA	1
30	3	125	3	"nogo_punish"	0	0	-1	0	0	1	-1	NA	1	1
30	3	126	2	"go_punish"	1	0	-1	1	0	0	-1	NA	0	1
30	3	127	3	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
30	3	128	3	"nogo_punish"	1	-1	0	0	0	1	0	NA	NA	1
30	3	129	1	"nogo_reward"	1	0	1	0	1	0	0	0.301393799949437	NA	1
30	3	130	1	"nogo_reward"	1	0	1	0	1	0	0	0.342898799804971	NA	1
30	3	131	1	"nogo_reward"	1	0	1	0	1	0	0	0.485845199786127	NA	1
30	3	132	1	"nogo_reward"	1	0	1	0	1	0	0	0.329822300001979	NA	1
30	3	133	3	"nogo_punish"	0	0	-1	0	0	1	-1	NA	1	1
